month,week,hour,weather,temperature,ordernum
1,4,0,1,-2,23808
1,4,1,1,-2,23972
1,4,2,1,-2,19823
1,4,3,1,-3,17260
1,4,4,1,-3,12068
1,4,5,1,-3,6627
1,4,6,1,-3,4827
1,4,7,1,-3,4534
1,4,8,1,-3,4421
1,4,9,1,-2,5863
1,4,10,1,-1,8699
1,4,11,1,-1,12262
1,4,12,1,1,14741
1,4,13,1,2,15575
1,4,14,1,3,16112
1,4,15,1,3,16391
1,4,16,1,4,14953
1,4,17,1,4,15820
1,4,18,1,4,16498
1,4,19,1,4,15067
1,4,20,1,3,13810
1,4,21,1,3,13467
1,4,22,1,3,12656
1,4,23,1,3,10262
1,5,0,1,3,8155
1,5,1,1,3,5289
1,5,2,1,3,3369
1,5,3,1,3,2368
1,5,4,1,3,2128
1,5,5,1,2,2267
1,5,6,1,2,4929
1,5,7,1,2,7131
1,5,8,1,2,9626
1,5,9,1,3,12012
1,5,10,1,4,13881
1,5,11,1,5,15522
1,5,12,1,4,17616
1,5,13,1,5,17355
1,5,14,1,6,18565
1,5,15,1,6,18767
1,5,16,1,6,16791
1,5,17,1,5,19025
1,5,18,1,4,21334
1,5,19,1,4,21524
1,5,20,1,3,18630
1,5,21,1,3,18147
1,5,22,1,3,20066
1,5,23,1,2,19081
1,6,0,1,2,17134
1,6,1,1,2,14348
1,6,2,1,1,11584
1,6,3,1,2,8871
1,6,4,1,2,5770
1,6,5,1,1,2827
1,6,6,1,1,3332
1,6,7,1,1,4319
1,6,8,1,1,6581
1,6,9,1,2,10258
1,6,10,1,2,13372
1,6,11,1,3,16255
1,6,12,1,3,19702
1,6,13,3,2,21676
1,6,14,3,1,22193
1,6,15,3,1,21465
1,6,16,2,2,18751
1,6,17,2,2,20483
1,6,18,2,3,23456
1,6,19,2,3,23842
1,6,20,2,4,19001
1,6,21,2,4,19792
1,6,22,2,4,20676
1,6,23,2,5,20760
1,7,0,2,6,18261
1,7,1,2,6,15261
1,7,2,2,6,11582
1,7,3,2,6,8349
1,7,4,1,5,5218
1,7,5,1,6,2670
1,7,6,2,7,2974
1,7,7,2,7,3919
1,7,8,2,7,6067
1,7,9,1,7,8795
1,7,10,2,8,12627
1,7,11,1,8,14721
1,7,12,1,10,16319
1,7,13,1,10,16899
1,7,14,1,10,17130
1,7,15,1,11,16704
1,7,16,1,12,16611
1,7,17,1,13,16846
1,7,18,1,13,17130
1,7,19,1,13,17220
1,7,20,2,12,16217
1,7,21,2,12,12952
1,7,22,2,11,11584
1,7,23,2,11,8896
1,1,0,1,10,6654
1,1,1,1,8,3957
1,1,2,1,8,2523
1,1,3,1,7,1718
1,1,4,1,6,1877
1,1,5,1,6,3519
1,1,6,1,5,9635
1,1,7,1,5,16650
1,1,8,1,4,19783
1,1,9,1,4,17913
1,1,10,1,3,15012
1,1,11,1,2,15105
1,1,12,1,2,15711
1,1,13,1,2,15777
1,1,14,1,2,17412
1,1,15,1,1,18324
1,1,16,1,1,16245
1,1,17,1,0,20042
1,1,18,1,-1,24293
